id_produto,produto, preco, categoria, data_inicial, data_final, status
1, Marmita G (frango), 30.00, Marmitas, 03/01/2026, 12/12/2026, disponível
2, Marmita M (frango), 25.00, Marmitas, 03/01/2026, 12/12/2026, disponível
3,Marmita P (frango), 20.00, Marmitas, 03/01/2026, 12/12/2026, disponível
4,Marmita G (Bife), 30.00, Marmitas, 03/01/2026, 12/12/2026, disponível
5,Marmita M (Bife), 25.00, Marmitas, 03/01/2026, 12/12/2026, disponível
6,Marmita P (Bife), 20.00, Marmitas, 03/01/2026, 12/12/2026, disponível
7,Marmita G (Peixe), 30.00, Marmitas, 03/01/2026, 12/12/2026, disponível
8,Marmita M (Peixe), 25.00, Marmitas, 03/01/2026, 12/12/2026, disponível
9,Marmita P (Peixe), 20.00, Marmitas, 03/01/2026, 12/12/2026, disponível
10,Marmita G (Vegana), 30.00, Marmitas, 03/01/2026, 12/12/2026, disponível
11,Marmita M (Vegana), 25.00, Marmitas, 03/01/2026, 12/12/2026, disponível
12,Marmita P (Vegana), 20.00, Marmitas, 03/01/2026, 12/12/2026, disponível
13,refrigerante,5.00,bebidas,03/01/2026, 12/12/2026, disponível
